image,output 0,output 1,output 2,timestamp
.gradio\flagged\image\a79aaa2cced6792fbcef\maggai.jpg,rice,"'
Calories: 200
Protein: 4g
Carbs: 45g
","pasta, dal, pizza",2026-04-15 20:33:27.964441
.gradio\flagged\image\551168716bd4c906e1ab\maggai.jpg,rice,"'
Calories: 200
Protein: 4g
Carbs: 45g
","pasta, dal, pizza",2026-04-15 20:35:21.529273
